2025-03-25 09:37:05.862179 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\tap 2025-03-25 09-37-05.txt'. [1.23 ms]
2025-03-25 09:37:05.878289 ; Session        ; Debug       ; Running '.\tap  package create "C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\\package.xml" --install' in 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release'.
2025-03-25 09:37:05.894153 ; AssemblyFinder ; Debug       ; Found 9/30 assembly files. [5.86 ms]
2025-03-25 09:37:05.910098 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-25 09:37:05.941900 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-25 09:37:06.020839 ; Searcher       ; Debug       ; Ordered 7 assemblies according to references. [87.3 ms]
2025-03-25 09:37:06.067971 ; PluginManager  ; Debug       ; Found 4 plugin assemblies containing 228 plugin types. [135 ms]
2025-03-25 09:37:06.067971 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-25 09:37:06.067971 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-25 09:37:06.067971 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-25 09:37:06.067971 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-25 09:37:06.067971 ; PluginManager  ; Debug       ; Searched 9 Assemblies. [137 ms]
2025-03-25 09:37:06.083863 ; AssemblyData   ; Debug       ; Loaded OpenTap. [289 us]
2025-03-25 09:37:06.099590 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [6.13 ms]
2025-03-25 09:37:06.115549 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\SessionLog 2025-03-25 09-37-05.txt'. [1.68 ms]
2025-03-25 09:37:06.131511 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.44 ms]
2025-03-25 09:37:06.131511 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-03-25 09:37:06.131511 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
2025-03-25 09:37:06.131511 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.0+11e5348d X64
2025-03-25 09:37:06.147283 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [2.52 ms]
2025-03-25 09:37:06.179028 ; AssemblyData   ; Debug       ; Loaded mscorlib. [300 ns]
2025-03-25 09:37:06.210646 ; CLI            ; Debug       ; Executing CLI action: package \ create
2025-03-25 09:37:06.210646 ; VariableExpander ; Debug       ; Initialized variable expander:
