2025-03-24 15:29:27.228123 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\tap 2025-03-24 15-29-27.txt'. [1.31 ms]
2025-03-24 15:29:27.244097 ; Session        ; Debug       ; Running '.\tap  package create "C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\\package.xml" --install' in 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release'.
2025-03-24 15:29:27.259961 ; AssemblyFinder ; Debug       ; Found 9/30 assembly files. [5.81 ms]
2025-03-24 15:29:27.286155 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-24 15:29:27.307547 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-24 15:29:27.371096 ; Searcher       ; Debug       ; Ordered 7 assemblies according to references. [85.3 ms]
2025-03-24 15:29:27.418872 ; PluginManager  ; Debug       ; Found 4 plugin assemblies containing 226 plugin types. [132 ms]
2025-03-24 15:29:27.418872 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-24 15:29:27.418872 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-24 15:29:27.418872 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-24 15:29:27.418872 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-24 15:29:27.418872 ; PluginManager  ; Debug       ; Searched 9 Assemblies. [134 ms]
2025-03-24 15:29:27.434738 ; AssemblyData   ; Debug       ; Loaded OpenTap. [271 us]
2025-03-24 15:29:27.450418 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [5.28 ms]
2025-03-24 15:29:27.466093 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\SessionLog 2025-03-24 15-29-27.txt'. [1.64 ms]
2025-03-24 15:29:27.481901 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.35 ms]
2025-03-24 15:29:27.497865 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-03-24 15:29:27.497865 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
