2025-03-19 11:22:09.275429 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\tap 2025-03-19 11-22-09.txt'. [1.29 ms]
2025-03-19 11:22:09.292432 ; Session        ; Debug       ; Running '.\tap  package create "C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\\package.xml" --install' in 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release'.
2025-03-19 11:22:09.317428 ; AssemblyFinder ; Debug       ; Found 9/30 assembly files. [5.84 ms]
2025-03-19 11:22:09.338429 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-19 11:22:09.357429 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-19 11:22:09.435939 ; Searcher       ; Debug       ; Ordered 7 assemblies according to references. [87.9 ms]
2025-03-19 11:22:09.482448 ; PluginManager  ; Debug       ; Found 4 plugin assemblies containing 226 plugin types. [136 ms]
2025-03-19 11:22:09.483447 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-19 11:22:09.483447 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-19 11:22:09.483447 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-19 11:22:09.483447 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-19 11:22:09.483447 ; PluginManager  ; Debug       ; Searched 9 Assemblies. [138 ms]
2025-03-19 11:22:09.499448 ; AssemblyData   ; Debug       ; Loaded OpenTap. [263 us]
2025-03-19 11:22:09.519447 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [5.56 ms]
2025-03-19 11:22:09.537347 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Release\SessionLogs\SessionLog 2025-03-19 11-22-09.txt'. [2.17 ms]
2025-03-19 11:22:09.546350 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [2.44 ms]
