2025-03-16 15:51:05.295486 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\SessionLogs\Editor 2025-03-16 15-51-04.txt'. [1.77 ms]
2025-03-16 15:51:07.880632 ; Session        ; Debug       ; Running '"C:\Station_de_test\OpenTAP_IObox\OpenTAP_IOBox\bin\Debug\Editor.exe" ' in 'C:\Station_de_test\OpenTAP_IObox\OpenTAP_IOBox\bin\Debug'.
2025-03-16 15:51:07.961849 ; AssemblyFinder ; Debug       ; Found 21/63 assembly files. [11.5 ms]
2025-03-16 15:51:07.976362 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.27.0.0, Culture=neutral, PublicKeyToken=null in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2025-03-16 15:51:07.976362 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-16 15:51:08.171024 ; AssemblyFinder ; Debug       ; Found 21/63 assembly files. [16.2 ms]
2025-03-16 15:51:08.195651 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\OpenTAP_IOBox\OpenTAP_IOBox\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-16 15:51:08.308630 ; Searcher       ; Debug       ; Ordered 19 assemblies according to references. [130 ms]
2025-03-16 15:51:08.382982 ; PluginManager  ; Debug       ; Found 14 plugin assemblies containing 303 plugin types. [207 ms]
2025-03-16 15:51:08.384978 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-16 15:51:08.384978 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
