2025-03-23 11:31:45.236647 ; Session        ; Debug       ; Session log loaded as 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\SessionLogs\Editor 2025-03-23 11-31-44.txt'. [1.94 ms]
2025-03-23 11:31:45.249693 ; Session        ; Debug       ; Deleting log file: C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\SessionLogs\SessionLog 2025-03-19 10-52-22.txt
2025-03-23 11:31:45.258327 ; Session        ; Debug       ; Running '"C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\Editor.exe" ' in 'C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug'.
2025-03-23 11:31:45.328042 ; AssemblyFinder ; Debug       ; Found 21/63 assembly files. [12.7 ms]
2025-03-23 11:31:45.341041 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.27.0.0, Culture=neutral, PublicKeyToken=null in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2025-03-23 11:31:45.341041 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2025-03-23 11:31:45.526070 ; AssemblyFinder ; Debug       ; Found 21/63 assembly files. [14.7 ms]
2025-03-23 11:31:45.542070 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2025-03-23 11:31:45.666099 ; Searcher       ; Debug       ; Ordered 19 assemblies according to references. [134 ms]
2025-03-23 11:31:45.748099 ; PluginManager  ; Debug       ; Found 14 plugin assemblies containing 303 plugin types. [218 ms]
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Package.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 1.5.1+16a9625a.16a9625af16be37b607c78294dd086bd05fdd1c1 of Keysight.OpenTap.Licensing.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.27.0+11e5348d  of OpenTap.Plugins.BasicSteps.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.27.0+f0e134d7.f0e134d7c967fbd3949acf3affed360905d1398e of Keysight.OpenTap.Wpf.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.27.0+f0e134d7.f0e134d7c967fbd3949acf3affed360905d1398e of PackageManager.exe
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.27.0+f0e134d7.f0e134d7c967fbd3949acf3affed360905d1398e of Editor.exe
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 0.0.0            of InterconnectIOBox.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.14.0+7676a2a2  of Csv.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 1.4.3+0968b4c4   of OpenTap.OSIntegration.Windows.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.6.0+558afbf4.558afbf44f139d4cc5acf537e8c72ed4c5efb9cc of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.6.0+558afbf4.558afbf44f139d4cc5acf537e8c72ed4c5efb9cc of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 9.6.0+558afbf4.558afbf44f139d4cc5acf537e8c72ed4c5efb9cc of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Found version 1.1.1+507fd903   of OpenTap.Tui.dll
2025-03-23 11:31:45.749098 ; PluginManager  ; Debug       ; Searched 21 Assemblies. [221 ms]
2025-03-23 11:31:45.769605 ; AssemblyData   ; Debug       ; Loaded OpenTap. [751 us]
2025-03-23 11:31:45.770613 ; AssemblyData   ; Debug       ; Loaded OpenTap. [285 us]
2025-03-23 11:31:45.875120 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [105 ms]
2025-03-23 11:31:45.875120 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [94.3 ms]
2025-03-23 11:31:45.878128 ; AssemblyData   ; Debug       ; Loaded OpenTap.Tui. [54.3 ms]
2025-03-23 11:31:45.889128 ; AssemblyData   ; Debug       ; Loaded Keysight.OpenTap.Wpf. [1.31 ms]
2025-03-23 11:31:45.906132 ; AssemblyData   ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [7.97 ms]
2025-03-23 11:31:45.910132 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.26100 X64
2025-03-23 11:31:45.910132 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
2025-03-23 11:31:45.910132 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.0+11e5348d X64
2025-03-23 11:31:45.966128 ; AssemblyData   ; Debug       ; Loaded mscorlib. [600 ns]
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; CSV                      - 9.14.0+7676a2a2
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; Editor                   - 9.27.0+f0e134d7
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; Keysight Licensing       - 1.5.1+16a9625a
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; OpenTAP                  - 9.27.0+11e5348d
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; OSIntegration            - 1.4.3+0968b4c4
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; SQLite and PostgreSQL    - 9.6.0+558afbf4
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; TUI                      - 1.1.1+507fd903
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; WPF Controls             - 9.27.0+f0e134d7
2025-03-23 11:31:46.114160 ; Installation   ; Debug       ; PathWave License Manager - 2.7.0+398d3a87
2025-03-23 11:31:46.125161 ; Settings       ; Debug       ; EditorSettings loaded from C:\Station_de_test\FTS_InterconnectIOBox\FTS_InterconnectIOBox\bin\Debug\Settings\Editor.xml [607 ms]
